effectiveness_police	republican_PSAs	loyalist_PSAs	effectiveness_informal	inf_better	informal_good	police_good	age	gender	general_trust	trust_in_neighbourhood	discrim	religion	vict_state_violence_trou	communal_stronghold	soa_deprivation	urban_soa
3	0	1	3	0	1	1	75	"Male"	1	3	0	"Protestant"	0	0	0.169	0
2	0	1	3	1	1	1	49	"Male"	2	4	0	"Protestant"	0	0	0.169	0
2	0	0	3	1	1	1	55	"Male"	1	3	0	"Protestant"	0	0	0.102	0
1	0	0	1	0	0	0	21	"Male"	1	1	0	"Catholic"	0	0	0.159	0
2	0	1	2	0	1	1	37	"Female"	2	3	0	"Protestant"	0	0	0.164	1
2	0	0	2	0	1	1	34	"Female"	2	3	0	"Protestant"	0	0	0.127	1
2	0	0	1	0	0	1	46	"Male"	1	3	0	"Protestant"	0	0	0.127	1
2	0	0	2	0	1	1	20	"Male"	1	3	0	"Protestant"	0	0	0.127	1
2	0	0	2	0	1	1	27	"Female"	2	3	0	"Protestant"	0	1	0.08	0
1	0	0	1	0	0	0	66	"Female"	2	3	0	"Protestant"	0	1	0.084	0
3	0	0	3	0	1	1	18	"Male"	2	3	0	"Protestant"	0	0	0.084	1
2	0	0	2	0	1	1	68	"Male"	1	4	0	"Protestant"	0	0	0.084	1
1	0	0	3	1	1	0	34	"Male"	2	3	1	"Protestant"	0	1	0.165	1
2	0	0	2	0	1	1	55	"Male"	1	3	0	"Protestant"	0	0	0.146	0
2	0	1	3	1	1	1	57	"Female"	2	4	0	"Protestant"	0	1	0.109	0
2	0	0	2	0	1	1	51	"Female"	1	3	0	"NA"	0	0	0.16	1
2	0	0	2	0	1	1	74	"Male"	1	3	0	"Protestant"	0	0	0.171	1
3	0	0	2	0	1	1	53	"Female"	1	4	0	"Catholic"	0	0	0.109	0
3	0	0	3	0	1	1	79	"Female"	2	3	0	"Catholic"	0	0	0.109	0
2	0	0	2	0	1	1	46	"Male"	2	2	0	"Catholic"	0	0	0.109	0
3	0	1	3	0	1	1	39	"Female"	1	3	0	"Protestant"	0	0	0.116	0
2	0	1	2	0	1	1	61	"Female"	2	3	0	"Protestant"	0	0	0.116	0
2	0	1	2	0	1	1	64	"Male"	1	4	0	"Protestant"	0	0	0.116	0
3	0	0	3	0	1	1	21	"Male"	2	3	0	"Catholic"	0	0	0.112	0
3	0	0	2	0	1	1	76	"Male"	2	3	0	"Protestant"	0	0	0.112	0
1	0	0	1	0	0	0	87	"Male"	2	3	0	"Protestant"	0	0	0.112	0
2	0	0	2	0	1	1	21	"Male"	2	4	0	"Protestant"	0	0	0.112	0
2	0	1	2	0	1	1	58	"Female"	1	3	0	"Protestant"	0	1	0.152	1
1	0	1	2	1	1	0	41	"Female"	2	3	0	"Protestant"	0	1	0.152	1
2	0	0	2	0	1	1	58	"Male"	2	3	0	"Protestant"	0	0	0.146	0
2	0	0	2	0	1	1	82	"Female"	2	4	0	"Protestant"	0	1	0.117	0
3	0	0	2	0	1	1	19	"Female"	2	3	0	"Catholic"	0	0	0.146	0
2	0	0	3	1	1	1	21	"Female"	2	3	0	"Protestant"	0	0	0.071	1
2	0	0	2	0	1	1	48	"Female"	1	4	0	"Protestant"	0	1	0.144	0
2	0	0	2	0	1	1	31	"Female"	2	3	0	"Protestant"	0	0	0.14	0
2	0	0	2	0	1	1	66	"Male"	1	3	0	"Protestant"	0	0	0.16	0
3	0	0	2	0	1	1	49	"Female"	2	2	0	"Protestant"	0	0	0.16	0
2	0	1	2	0	1	1	48	"Male"	2	3	1	"Protestant"	0	0	0.122	1
3	0	0	3	0	1	1	52	"Female"	2	2	0	"Protestant"	0	0	0.097	1
2	0	0	2	0	1	1	67	"Female"	1	4	0	"Protestant"	0	0	0.113	0
3	0	0	1	0	0	1	27	"Female"	1	4	0	"Catholic"	0	0	0.113	0
2	0	4	2	0	1	1	37	"Female"	2	3	0	"Protestant"	0	0	0.172	1
2	0	4	2	0	1	1	28	"Female"	1	3	0	"Protestant"	0	0	0.172	1
	0	1					67	"Male"	2	3	0	"Protestant"	0	0	0.165	1
3	0	0	2	0	1	1	55	"Female"	1	3	0	"Protestant"	0	0	0.122	0
2	0	0	3	1	1	1	21	"Female"	2	3	1	"Catholic"	0	0	0.122	0
2	0	0	2	0	1	1	50	"Female"	1	3	0	"Protestant"	0	0	0.145	0
	0	0					85	"Female"	2	3	0	"Protestant"	0	0	0.174	0
2	0	0	1	0	0	1	34	"Female"	2	1	1	"Catholic"	0	0	0.145	0
2	0	0	2	0	1	1	78	"Male"	2	3	0	"Protestant"	0	0	0.102	1
2	0	0	3	1	1	1	35	"Female"	2	3	0	"Protestant"	0	0	0.096	0
3	0	0	3	0	1	1	58	"Male"	2	3	0	"Protestant"	0	0	0.096	0
2	0	0	3	1	1	1	58	"Female"	2	3	0	"Protestant"	0	0	0.096	0
1	0	0	3	1	1	0	27	"Female"	2	2	0	"Protestant"	0	0	0.153	0
1	0	0	2	1	1	0	72	"Male"	2	4	0	"Protestant"	0	0	0.108	1
2	0	0	3	1	1	1	25	"Male"	1	4	0	"Protestant"	0	0	0.137	0
3	0	0	2	0	1	1	56	"Male"	1	3	0	"Protestant"	0	0	0.137	0
2	0	0	1	0	0	1	28	"Male"	2	3	0	"Protestant"	0	0	0.145	0
3	0	0	2	0	1	1	18	"Female"	1	3	1	"Protestant"	0	0	0.145	0
2	0	0	3	1	1	1	61	"Female"	1	4	0	"Protestant"	0	0	0.128	0
3	0	0	2	0	1	1	74	"Male"	2	3	0	"Catholic"	0	0	0.128	0
2	0	0	2	0	1	1	26	"Female"	1	4	0	"Catholic"	0	0	0.128	0
2	0	0	3	1	1	1	45	"Male"	1	3	0	"Protestant"	0	0	0.139	0
2	0	0	2	0	1	1	50	"Female"	2	2	1	"Catholic"	0	0	0.139	0
2	0	0	2	0	1	1	18	"Female"	2	3	0	"Protestant"	0	0	0.139	0
2	0	0	2	0	1	1	19	"Female"	2	3	0	"Protestant"	0	0	0.153	0
1	0	0	2	1	1	0	66	"Female"	2	4	0	"Catholic"	0	0	0.152	0
2	0	0	3	1	1	1	66	"Female"	2	3	0	"Protestant"	0	0	0.152	0
3	0	0	3	0	1	1	59	"Female"	2	3	0	"Catholic"	0	0	0.152	0
2	0	1	2	0	1	1	24	"Female"	2	3	0	"Protestant"	0	0	0.11	0
3	0	1	1	0	0	1	32	"Male"	2	3	0	"NA"	0	0	0.11	0
2	0	0	2	0	1	1	58	"Male"	2	3	0	"Catholic"	1	0	0.158	1
3	1	0				1	74	"Female"	1	4	0	"Catholic"	0	1	0.085	1
2	1	0	3	1	1	1	46	"Female"	2	3	0	"Catholic"	0	1	0.112	1
2	1	0	2	0	1	1	40	"Female"	2	3	0	"Catholic"	0	1	0.112	1
3	0	0	2	0	1	1	40	"Male"	2	4	0	"Catholic"	0	1	0.128	1
1	6	0	1	0	0	0	45	"Female"	1	4	1	"Catholic"	0	1	0.206	1
3	6	0	2	0	1	1	47	"Female"	2	3	0	"Catholic"	0	1	0.206	1
1	15	0	2	1	1	0	67	"Male"	1	4	1	"Catholic"	0	1	0.186	1
3	0	1	3	0	1	1	38	"Male"	2	3	0	"Protestant"	0	0	0.08	1
2	0	0	2	0	1	1	78	"Male"	1	4	0	"Protestant"	0	0	0.086	1
3	0	0	3	0	1	1	20	"Female"	1	3	0	"Protestant"	0	0	0.086	1
2	0	2	2	0	1	1	18	"Female"	1	3	0	"Protestant"	0	0	0.107	1
3	0	2	2	0	1	1	27	"Male"	2	4	0	"Protestant"	0	0	0.107	1
3	0	4	1	0	0	1	48	"Male"	1	4	0	"Protestant"	0	1	0.182	1
3	0	4	2	0	1	1	32	"Female"	2	3	0	"Protestant"	0	1	0.182	1
3	0	0	2	0	1	1	18	"Male"	1	3	0	"NA"	0	0	0.092	1
3	0	0	2	0	1	1	89	"Female"	1	4	0	"Protestant"	0	0	0.092	1
2	0	0	2	0	1	1	54	"Female"	1	3	0	"Protestant"	0	0	0.086	1
1	0	3	3	1	1	0	40	"Female"	2	3	0	"Protestant"	0	0	0.15	1
3	0	3	2	0	1	1	57	"Male"	1	3	0	"Catholic"	1	0	0.15	1
2	0	3	2	0	1	1	22	"Male"	1	3	0	"NA"	0	0	0.15	1
2	0	3	2	0	1	1	29	"Female"	2	4	0	"Protestant"	0	1	0.167	1
3	0	2	2	0	1	1	49	"Female"	1	4	1	"Protestant"	0	1	0.117	1
1	0	0	3	1	1	0	55	"Female"	2	4	0	"Protestant"	0	1	0.126	1
1	2	1	2	1	1	0	49	"Male"	2	3	0	"Protestant"	0	1	0.103	1
1	5	0	1	0	0	0	44	"Female"	1	3	0	"Catholic"	0	1	0.158	1
1	4	0	1	0	0	0	85	"Female"	1	4	0	"Catholic"	0	1	0.121	1
2	4	0	2	0	1	1	48	"Male"	2	3	0	"Catholic"	0	1	0.121	1
2	0	0	3	1	1	1	18	"Male"	1	3	0	"Catholic"	0	0	0.145	1
2	0	0	3	1	1	1	60	"Female"	2	3	0	"Protestant"	0	1	0.057	1
3	0	0	2	0	1	1	19	"Female"	2	3	0	"Protestant"	0	1	0.057	1
3	0	2	1	0	0	1	61	"Female"	2	2	0	"Protestant"	0	0	0.203	1
2	0	2	3	1	1	1	39	"Female"	1	3	0	"NA"	0	0	0.203	1
2	0	4	3	1	1	1	48	"Male"	2	3	0	"Protestant"	0	0	0.154	1
3	0	0	2	0	1	1	63	"Male"	1	3	0	"Protestant"	0	0	0.107	1
2	0	0	2	0	1	1	47	"Female"	1	4	0	"NA"	0	0	0.107	1
2	0	1	1	0	0	1	30	"Female"	2	3	0	"Protestant"	0	0	0.151	1
3	0	0	2	0	1	1	28	"Female"	2	3	0	"Catholic"	0	0	0.124	1
2	0	0	2	0	1	1	21	"Male"	1	3	0	"Catholic"	0	0	0.174	1
3	3	0	2	0	1	1	35	"Male"	1	3	0	"Catholic"	0	1	0.154	1
1	0	0	1	0	0	0	27	"Male"	1	4	0	"Catholic"	0	0	0.162	1
3	0	0	2	0	1	1	31	"Male"	2	2	0	"Protestant"	0	0	0.162	1
3	0	0	2	0	1	1	45	"Male"	2	4	0	"Catholic"	1	0	0.111	1
2	0	2	2	0	1	1	56	"Male"	1	4	0	"Catholic"	0	0	0.112	1
3	0	2	3	0	1	1	30	"Male"	2	4	0	"Catholic"	0	0	0.112	1
2	0	0	2	0	1	1	37	"Male"	1	4	0	"Catholic"	1	0	0.052	1
2	0	0	3	1	1	1	71	"Female"	2	3	0	"Protestant"	0	0	0.062	1
2	0	0	2	0	1	1	31	"Female"	1	3	0	"Catholic"	0	0	0.062	1
3	0	1	3	0	1	1	52	"Female"	2	3	0	"Protestant"	0	0	0.087	1
2	0	1	2	0	1	1	54	"Female"	2	3	0	"NA"	0	0	0.087	1
2	1	0	2	0	1	1	41	"Male"	2	4	0	"Catholic"	0	0	0.158	1
2	1	0	2	0	1	1	37	"Male"	1	4	0	"Catholic"	0	0	0.158	1
3	0	0	2	0	1	1	44	"Female"	1	4	1	"Catholic"	1	1	0.116	1
2	0	0	2	0	1	1	28	"Female"	2	3	0	"Catholic"	0	1	0.163	1
3	0	1				1	20	"Male"	2	3	0	"NA"	0	0	0.096	1
3	0	1	1	0	0	1	52	"Female"	2	2	1	"Catholic"	0	0	0.096	1
3	0	0	2	0	1	1	41	"Female"	1	4	0	"Catholic"	0	0	0.154	1
3	4	0	3	0	1	1	35	"Male"	2	2	1	"NA"	0	1	0.145	1
1	0	1	3	1	1	0	69	"Male"	2	3	1	"Protestant"	0	1	0.203	1
3	1	3	3	0	1	1	40	"Female"	2	2	0	"Protestant"	0	0	0.196	1
2	1	4	1	0	0	1	57	"Male"	2	2	0	"Protestant"	0	0	0.197	1
1	1	4	1	0	0	0	73	"Male"	1	4	0	"Protestant"	0	0	0.197	1
2	6	0	2	0	1	1	56	"Female"	2	2	0	"Catholic"	1	1	0.156	1
3	6	0	2	0	1	1	51	"Female"	2	3	1	"Catholic"	0	1	0.156	1
3	4	2	3	0	1	1	55	"Male"	1	4	1	"Catholic"	0	1	0.179	1
3	4	2	2	0	1	1	63	"Female"	1	3	0	"Catholic"	0	1	0.179	1
2	4	2	1	0	0	1	55	"Female"	2	3	0	"Catholic"	0	1	0.179	1
1	5	0	3	1	1	0	52	"Male"	1	4	1	"Catholic"	0	1	0.1	1
2	0	0	1	0	0	1	50	"Male"	2	2	1	"Catholic"	0	0	0.068	1
3	0	0				1	46	"Female"	1	4	0	"Catholic"	0	0	0.099	1
3	0	0	1	0	0	1	33	"Female"	2	4	0	"Catholic"	0	0	0.099	1
3	4	0	3	0	1	1	44	"Female"	2	3	1	"Catholic"	0	1	0.131	1
1	0	0	2	1	1	0	59	"Male"	2	4	1	"Catholic"	1	1	0.119	1
1	0	0	1	0	0	0	93	"Female"	2	2	0	"Protestant"	0	0	0.158	1
2	0	0	3	1	1	1	65	"Male"	1	3	0	"Protestant"	0	0	0.158	1
2	6	0	2	0	1	1	28	"Male"	2	3	0	"Catholic"	0	1	0.125	1
3	13	0	1	0	0	1	36	"Female"	1	4	0	"Catholic"	0	1	0.122	1
1	0	0	3	1	1	0	60	"Female"	2	3	1	"Protestant"	0	0	0.105	1
3	0	3	3	0	1	1	72	"Female"	2	3	0	"Protestant"	0	1	0.19	1
2	0	3	2	0	1	1	33	"Female"	2	3	0	"Protestant"	0	1	0.19	1
2	0	3	2	0	1	1	30	"Female"	2	3	0	"Protestant"	0	0	0.133	1
2	0	0	3	1	1	1	43	"Male"	1	3	0	"Protestant"	0	0	0.08	1
3	0	2	3	0	1	1	27	"Male"	2	4	1	"Protestant"	0	0	0.111	1
2	1	0	2	0	1	1	57	"Male"	2	3	1	"Catholic"	1	1	0.157	1
3	1	0	2	0	1	1	57	"Female"	1	3	0	"Catholic"	0	1	0.157	1
3	0	0	3	0	1	1	26	"Female"	1	3	0	"Protestant"	0	0	0.173	1
3	0	0	3	0	1	1	47	"Female"	1	4	0	"Protestant"	0	0	0.164	1
2	0	0	2	0	1	1	40	"Female"	1	4	0	"Protestant"	0	0	0.164	1
3	5	0	3	0	1	1	54	"Male"	1	4	1	"Catholic"	0	1	0.15	1
3	2	0	2	0	1	1	58	"Female"	1	4	1	"Catholic"	1	1	0.163	1
2	0	0	2	0	1	1	56	"Male"	1	3	0	"Protestant"	0	1	0.074	1
3	0	0	3	0	1	1	37	"Female"	2	3	0	"Catholic"	0	0	0.085	1
2	0	0	2	0	1	1	30	"Male"	1	3	0	"NA"	0	0	0.085	1
3	0	0	3	0	1	1	25	"Female"	2	3	0	"Catholic"	0	0	0.085	1
3	0	1	2	0	1	1	77	"Male"	2	3	0	"Catholic"	0	0	0.089	1
1	0	0	3	1	1	0	42	"Female"	1	3	0	"Catholic"	0	0	0.054	1
3	2	3	2	0	1	1	36	"Male"	1	4	0	"NA"	0	0	0.126	1
1	0	8	3	1	1	0	20	"Male"	1	3	0	"Protestant"	0	0	0.129	1
3	0	8	2	0	1	1	26	"Female"	2	3	0	"Catholic"	0	0	0.129	1
3	2	3	1	0	0	1	24	"Female"	2	3	0	"Protestant"	0	0	0.126	1
3	0	8	2	0	1	1	61	"Female"	2	3	0	"Protestant"	0	0	0.129	1
3	0	3	3	0	1	1	22	"Female"	1	4	0	"Protestant"	0	0	0.17	1
2	0	2	2	0	1	1	87	"Male"	2	3	0	"Catholic"	1	1	0.193	1
3	1	7	2	0	1	1	27	"Female"	2	3	0	"Protestant"	0	1	0.172	1
2	0	0	3	1	1	1	63	"Female"	2	4	0	"Protestant"	0	0	0.062	1
1	0	0	2	1	1	0	28	"Female"	1	3	0	"Protestant"	0	0	0.075	1
1	0	0	2	1	1	0	23	"Female"	2	3	0	"NA"	0	0	0.075	1
3	0	0	3	0	1	1	45	"Female"	1	3	0	"Catholic"	0	0	0.075	1
	0	0					18	"Female"	2	4	0	"Catholic"	0	0	0.085	1
1	0	0	2	1	1	0	38	"Male"	1	3	0	"NA"	0	0	0.08	1
2	0	2	2	0	1	1	31	"Female"	2	3	0	"Protestant"	0	1	0.101	1
3	0	1	2	0	1	1	51	"Male"	1	3	0	"Protestant"	0	1	0.098	1
1	0	2	3	1	1	0	57	"Male"	1	4	1	"Protestant"	0	0	0.108	1
3	0	2	2	0	1	1	34	"Male"	1	4	0	"Protestant"	0	0	0.108	1
1	0	10	2	1	1	0	54	"Female"	1	3	0	"Protestant"	0	0	0.146	1
3	0	5	3	0	1	1	37	"Female"	1	4	0	"Protestant"	0	0	0.166	1
1	0	5	2	1	1	0	25	"Female"	2	4	0	"Protestant"	0	0	0.166	1
3	0	0	2	0	1	1	18	"Female"	2	3	0	"NA"	0	0	0.066	1
2	0	1	3	1	1	1	68	"Male"	2	3	0	"Protestant"	0	1	0.124	1
1	0	0	2	1	1	0	18	"Male"	1	3	0	"Protestant"	0	0	0.094	1
2	0	0	2	0	1	1	36	"Female"	1		0	"Catholic"	0	0	0.094	1
3	0	0	2	0	1	1	41	"Female"	2	4	0	"Protestant"	0	0	0.094	1
2	1	0	2	0	1	1	31	"Female"	1	3	0	"Catholic"	0	1	0.111	1
2	6	1	2	0	1	1	32	"Female"	1	3	0	"Catholic"	0	1	0.179	1
	6	1	2		1		43	"Male"	1	4	0	"Catholic"	1	1	0.179	1
3	1	0	3	0	1	1	24	"Male"	2	3	0	"Catholic"	0	1	0.21	1
2	1	0	1	0	0	1	40	"Male"	2	3	1	"NA"	0	1	0.21	1
3	1	0	1	0	0	1	53	"Female"	2	3	0	"Catholic"	0	1	0.21	1
3	1	0	2	0	1	1	32	"Male"	1	3	0	"Catholic"	0	1	0.21	1
3	3	0	2	0	1	1	54	"Male"	1	4	0	"Catholic"	0	1	0.168	1
1	4	0	2	1	1	0	64	"Female"	2	4	0	"Catholic"	0	1	0.141	1
1	4	0	2	1	1	0	53	"Female"	2	1	0	"Catholic"	1	1	0.141	1
3	4	0	2	0	1	1	48	"Female"	2	2	0	"Catholic"	0	1	0.141	1
	0	0					51	"Female"	1	3	0	"Catholic"	1	0	0.083	1
1	0	0	2	1	1	0	27	"Female"	1	3	0	"Protestant"	0	0	0.085	1
3	0	2	3	0	1	1	55	"Female"	2	4	0	"Protestant"	0	0	0.148	1
2	0	2	2	0	1	1	27	"Female"	2	3	1	"Protestant"	0	0	0.148	1
3	0	0	3	0	1	1	39	"Female"	2	4	0	"Protestant"	0	0	0.163	1
3	0	0	3	0	1	1	44	"Male"	1	4	0	"Protestant"	0	0	0.163	1
2	0	4	3	1	1	1	74	"Male"	1	3	0	"Protestant"	0	1	0.223	1
3	0	0	2	0	1	1	70	"Male"	1	4	0	"Protestant"	0	0	0.079	1
2	0	0	3	1	1	1	39	"Female"	2	3	1	"Catholic"	0	0	0.079	1
2	0	0	2	0	1	1	48	"Male"	2	3	0	"Protestant"	0	1	0.039	1
2	0	3	3	1	1	1	62	"Male"	2	3	0	"Protestant"	0	1	0.127	1
2	0	0	3	1	1	1	69	"Female"	2	3	0	"Protestant"	0	0	0.066	1
3	0	0				1	84	"Female"	2	4	0	"Protestant"	0	0	0.066	1
2	0	14	3	1	1	1	65	"Male"	2	3	0	"Protestant"	0	1	0.116	1
2	0	4	3	1	1	1	45	"Female"	1	3	0	"Catholic"	0	1	0.097	1
2	0	4	3	1	1	1	54	"Male"	1	4	0	"Protestant"	0	0	0.102	0
2	0	4	2	0	1	1	52	"Male"	2	3	0	"Protestant"	0	0	0.102	0
1	0	0	2	1	1	0	21	"Female"	2	2	0	"Protestant"	0	1	0.119	1
3	0	0	1	0	0	1	27	"Male"	2	2	0	"Protestant"	0	1	0.119	1
3	0	0	1	0	0	1	19	"Male"	2	3	0	"Protestant"	0	1	0.119	1
3	0	0	3	0	1	1	55	"Male"	1	3	0	"Protestant"	0	1	0.077	0
2	0	0	3	1	1	1	43	"Female"	2	3	0	"Protestant"	0	0	0.067	1
2	0	2	1	0	0	1	35	"Male"	1	3	1	"Catholic"	0	0	0.079	1
3	0	2	2	0	1	1	40	"Female"	1	3	0	"Catholic"	0	0	0.079	1
1	0	2				0	36	"Male"	1	3	0	"Catholic"	1	0	0.079	1
2	0	0	2	0	1	1	18	"Male"	2	3	0	"NA"	0	0	0.072	0
3	0	0	2	0	1	1	19	"Female"	1	4	0	"Catholic"	0	0	0.066	1
1	0	0	2	1	1	0	18	"Male"	1	3	0	"Catholic"	0	0	0.07	1
1	0	0	1	0	0	0	42	"Female"	1	3	0	"Catholic"	0	0	0.07	1
2	0	1	1	0	0	1	79	"Female"	2	2	0	"Protestant"	0	1	0.104	1
3	0	2	3	0	1	1	25	"Male"	2	3	0	"Protestant"	0	0	0.099	1
2	0	0	2	0	1	1	19	"Female"	1	3	0	"Protestant"	0	0	0.089	1
2	0	0				1	64	"Female"	1	3	0	"Protestant"	0	0	0.089	1
2	0	0	3	1	1	1	37	"Male"	1	3	0	"Protestant"	0	0	0.089	1
2	0	5	3	1	1	1	36	"Male"	1	3	0	"Protestant"	0	1	0.108	1
1	0	0	2	1	1	0	64	"Male"	2	3	0	"Protestant"	0	0	0.089	1
2	0	0	3	1	1	1	36	"Male"	1	3	1	"Protestant"	0	0	0.051	1
2	0	0	2	0	1	1	68	"Female"	2	4	0	"Protestant"	0	1	0.062	1
3	0	0	3	0	1	1	33	"Female"	2	3	0	"Protestant"	0	1	0.062	1
3	0	4	2	0	1	1	21	"Male"	1	3	0	"Catholic"	0	1	0.13	1
2	0	4	3	1	1	1	62	"Male"	2	4	0	"Protestant"	1	1	0.13	1
3	0	0	2	0	1	1	31	"Male"	2	3	1	"Protestant"	0	0	0.074	1
3	0	0	3	0	1	1	49	"Male"	1	4	0	"Protestant"	0	0	0.074	1
2	0	3	2	0	1	1	69	"Male"	1	4	0	"Protestant"	0	1	0.064	1
2	0	2	2	0	1	1	72	"Female"	1	4	0	"Protestant"	0	1	0.099	1
1	0	0	2	1	1	0	43	"Female"	2	3	0	"Protestant"	0	0	0.083	0
